id,first_name,second_name,now_cost,name,club,position,total_points,weighted_points
70,Yves,Bissouma,44,Brighton,BHA,MID,53.0,72.55555555555556
73,Steven,Alzate,48,Brighton,BHA,MID,34.0,51.166666666666664
74,Alexis,Mac Allister,52,Brighton,BHA,MID,30.0,48.0
75,Jakub,Moder,45,Brighton,BHA,MID,21.0,42.0
426,João Filipe Iria,Santos Moutinho,49,Wolves,WOL,MID,101.66666666666667,133.0
434,Leander,Dendoncker,47,Wolves,WOL,MID,75.0,101.6111111111111
435,Adama,Traoré,56,Wolves,WOL,MID,67.0,83.54666666666665
436,Rúben Diogo,da Silva Neves,53,Wolves,WOL,MID,101.66666666666667,135.55555555555554
438,Daniel,Castelo Podence,55,Wolves,WOL,MID,50.0,79.16666666666666
440,Morgan,Gibbs-White,45,Wolves,WOL,MID,23.333333333333332,30.277777777777782
441,Pedro,Lomba Neto,64,Wolves,WOL,MID,90.5,141.33333333333331
442,Owen,Otasowie,45,Wolves,WOL,MID,9.0,18.0
661,Bruno André,Cavaco Jordão,45,Wolves,WOL,MID,1.0,2.0
33,Jack,Grealish,75,Man City,MCI,MID,68.8,85.648
250,Ilkay,Gündogan,71,Man City,MCI,MID,104.25,132.525
251,Kevin,De Bruyne,118,Man City,MCI,MID,142.42857142857142,164.8244897959184
254,Riyad,Mahrez,87,Man City,MCI,MID,154.14285714285714,176.06632653061226
255,Raheem,Sterling,107,Man City,MCI,MID,159.77777777777777,179.47901234567902
261,Bernardo Mota,Veiga de Carvalho e Silva,72,Man City,MCI,MID,119.0,147.6
265,Phil,Foden,79,Man City,MCI,MID,59.25,79.375
266,Rodrigo,Hernandez,55,Man City,MCI,MID,91.5,137.16666666666666
268,Ferran,Torres,67,Man City,MCI,MID,95.0,190.0
453,Fernando,Luiz Rosa,47,Man City,MCI,MID,85.875,95.79166666666667
566,Tommy,Doyle,45,Man City,MCI,MID,1.0,2.0
145,Billy,Gilmour,43,Norwich,NOR,MID,8.5,12.666666666666666
316,Marco,Stiepermann,50,Norwich,NOR,MID,32.0,64.0
317,Lukas,Rupp,44,Norwich,NOR,MID,19.0,38.0
318,Kenny,McLean,49,Norwich,NOR,MID,77.0,154.0
320,Onel,Hernández,49,Norwich,NOR,MID,52.0,104.0
323,Kieran,Dowell,51,Norwich,NOR,MID,4.0,8.0
325,Todd,Cantwell,53,Norwich,NOR,MID,111.0,222.0
330,Josh,Martin,50,Norwich,NOR,MID,5.0,10.0
354,Moussa,Sissoko,44,Watford,WAT,MID,73.88888888888889,81.45185185185184
378,Dan,Gosling,47,Watford,WAT,MID,35.36363636363637,39.33057851239669
381,Tom,Cleverley,48,Watford,WAT,MID,53.6,58.65272727272728
385,Nathaniel,Chalobah,50,Watford,WAT,MID,14.8,18.272
391,Ken,Sema,52,Watford,WAT,MID,37.0,74.0
397,Domingos,Quina,45,Watford,WAT,MID,10.5,15.285714285714285
399,Ismaila,Sarr,57,Watford,WAT,MID,107.0,214.0
101,Jack,Cork,44,Burnley,BUR,MID,63.7,70.36181818181818
102,Dale,Stephens,44,Burnley,BUR,MID,55.75,66.7
107,Ashley,Westwood,53,Burnley,BUR,MID,78.88888888888889,88.2320987654321
108,Johann Berg,Gudmundsson,54,Burnley,BUR,MID,67.2,79.55999999999999
115,Josh,Brownhill,43,Burnley,BUR,MID,47.5,75.66666666666666
116,Josh,Benson,45,Burnley,BUR,MID,10.0,20.0
118,Dwight,McNeil,57,Burnley,BUR,MID,78.0,102.3
575,Aaron,Lennon,49,Burnley,BUR,MID,79.14285714285714,83.76462585034014
81,Sergi,Canós,55,Brentford,BRE,MID,1.0,2.0
699,Christian,Eriksen,55,Brentford,BRE,MID,156.85714285714286,178.07653061224488
269,Edinson,Cavani,84,Man Utd,MUN,FWD,99.0,198.0
278,Anthony,Martial,76,Man Utd,MUN,FWD,126.33333333333333,147.31746031746033
579,Cristiano Ronaldo,dos Santos Aveiro,123,Man Utd,MUN,FWD,244.33333333333334,323.6666666666667
187,Rodrigo,Moreno,62,Leeds,LEE,FWD,58.0,92.16666666666666
189,Patrick,Bamford,77,Leeds,LEE,FWD,76.66666666666667,112.16666666666667
4,Pierre-Emerick,Aubameyang,96,Arsenal,ARS,FWD,157.0,197.9
6,Alexandre,Lacazette,83,Arsenal,ARS,FWD,137.75,171.25
20,Edward,Nketiah,54,Arsenal,ARS,FWD,18.5,24.549999999999997
109,Chris,Wood,67,Newcastle,NEW,FWD,74.71428571428571,89.45918367346938
296,Callum,Wilson,72,Newcastle,NEW,FWD,104.83333333333333,124.94444444444446
300,Dwight,Gayle,52,Newcastle,NEW,FWD,59.333333333333336,68.42753623188406
307,Allan,Saint-Maximin,68,Newcastle,NEW,FWD,88.5,132.16666666666666
310,Joelinton Cássio,Apolinário de Lira,58,Newcastle,NEW,FWD,76.0,113.66666666666666
357,Harry,Kane,123,Spurs,TOT,FWD,159.55555555555554,179.92181069958846
520,Dane,Scarlett,45,Spurs,TOT,FWD,1.0,2.0
40,Ollie,Watkins,75,Aston Villa,AVL,FWD,168.0,336.0
47,Wesley,Moraes,54,Aston Villa,AVL,FWD,35.0,47.166666666666664
48,Mbwana Ally,Samatta,55,Aston Villa,AVL,FWD,29.0,58.0
49,Keinan,Davis,45,Aston Villa,AVL,FWD,24.0,35.900000000000006
337,Danny,Ings,77,Aston Villa,AVL,FWD,99.5,118.21999999999998
120,Olivier,Giroud,65,Chelsea,CHE,FWD,105.22222222222223,114.78518518518518
126,Michy,Batshuayi,55,Chelsea,CHE,FWD,38.0,45.45333333333333
134,Timo,Werner,86,Chelsea,CHE,FWD,128.0,256.0
136,Tammy,Abraham,65,Chelsea,CHE,FWD,77.5,101.0625
529,Romelu,Lukaku,115,Chelsea,CHE,FWD,163.57142857142858,186.64285714285714
177,Dominic,Calvert-Lewin,77,Everton,EVE,FWD,97.6,121.57333333333334
180,Richarlison,de Andrade,75,Everton,EVE,FWD,141.5,176.95
545,Nathan,Broadhead,45,Everton,EVE,FWD,1.0,2.0
564,Moise,Kean,60,Everton,EVE,FWD,27.5,36.99999999999999
591,Salomón,Rondón,60,Everton,EVE,FWD,121.0,152.3
622,Cenk,Tosun,50,Everton,EVE,FWD,34.75,41.12500000000001
205,Jamie,Vardy,103,Leicester,LEI,FWD,178.0,204.51020408163262
213,Kelechi,Iheanacho,69,Leicester,LEI,FWD,69.66666666666667,82.03174603174602
228,Roberto,Firmino,87,Liverpool,LIV,FWD,162.0,188.34126984126985
235,Divock,Origi,48,Liverpool,LIV,FWD,42.0,48.0
344,Daniel,N'Lundulu,45,Southampton,SOU,FWD,13.0,26.0
345,Che,Adams,70,Southampton,SOU,FWD,107.5,166.16666666666666
348,Michael,Obafemi,45,Southampton,SOU,FWD,15.75,20.2
518,Armando,Broja,55,Southampton,SOU,FWD,1.0,2.0
519,Shane,Long,54,Southampton,SOU,FWD,70.5,75.9369658119658
525,Adam,Armstrong,57,Southampton,SOU,FWD,9.0,14.333333333333332
413,Michail,Antonio,76,West Ham,WHU,FWD,111.16666666666667,129.5493827160494
149,Christian,Benteke,60,Crystal Palace,CRY,FWD,100.11111111111111,109.67654320987656
153,Jordan,Ayew,58,Crystal Palace,CRY,FWD,80.16666666666667,94.07142857142857
159,Jean-Philippe,Mateta,52,Crystal Palace,CRY,FWD,15.0,30.0
63,Neal,Maupay,65,Brighton,BHA,FWD,118.0,174.83333333333331
72,Aaron,Connolly,53,Brighton,BHA,FWD,49.5,72.33333333333333
447,Danny,Welbeck,59,Brighton,BHA,FWD,58.0,62.619611158072686
500,Florin,Andone,50,Brighton,BHA,FWD,21.5,29.5
535,Andi,Zeqiri,45,Brighton,BHA,FWD,9.0,18.0
595,Jürgen,Locadia,44,Brighton,BHA,FWD,23.666666666666668,30.833333333333332
430,Raúl,Jiménez,76,Wolves,WOL,FWD,139.33333333333334,178.1111111111111
445,Fabio,Silva,56,Wolves,WOL,FWD,72.0,144.0
523,Patrick,Cutrone,50,Wolves,WOL,FWD,12.5,17.0
263,Gabriel Fernando,de Jesus,84,Man City,MCI,FWD,106.6,129.46666666666664
704,Liam,Delap,45,Man City,MCI,FWD,1.0,2.0
315,Teemu,Pukki,58,Norwich,NOR,FWD,139.0,278.0
322,Jordan,Hugill,54,Norwich,NOR,FWD,3.0,6.0
329,Adam,Idah,49,Norwich,NOR,FWD,13.0,26.0
