id,first_name,second_name,now_cost,name,short_name,position
574,Robert,Elliot,40,Watford,WAT,GKP
642,Vincent,Angelini,40,Watford,WAT,GKP
112,Nick,Pope,54,Burnley,BUR,GKP
114,Will,Norris,44,Burnley,BUR,GKP
117,Bailey,Peacock-Farrell,45,Burnley,BUR,GKP
480,Wayne,Hennessey,45,Burnley,BUR,GKP
708,Sam,Waller,40,Burnley,BUR,GKP
80,David,Raya Martin,43,Brentford,BRE,GKP
92,Ellery,Balcombe,40,Brentford,BRE,GKP
94,Patrik,Gunnarsson,39,Brentford,BRE,GKP
556,Álvaro,Fernández,45,Brentford,BRE,GKP
619,Matthew,Cox,40,Brentford,BRE,GKP
673,Jonas,Lössl,45,Brentford,BRE,GKP
273,Harry,Maguire,54,Man Utd,MUN,DEF
275,Luke,Shaw,50,Man Utd,MUN,DEF
279,Alex Nicolao,Telles,50,Man Utd,MUN,DEF
283,Axel,Tuanzebe,44,Man Utd,MUN,DEF
284,Victor,Lindelöf,48,Man Utd,MUN,DEF
286,Eric,Bailly,49,Man Utd,MUN,DEF
288,Aaron,Wan-Bissaka,51,Man Utd,MUN,DEF
510,José Diogo,Dalot Teixeira,44,Man Utd,MUN,DEF
555,Raphaël,Varane,55,Man Utd,MUN,DEF
632,Phil,Jones,45,Man Utd,MUN,DEF
184,Liam,Cooper,44,Leeds,LEE,DEF
185,Luke,Ayling,43,Leeds,LEE,DEF
190,Diego,Llorente,45,Leeds,LEE,DEF
194,Robin,Koch,43,Leeds,LEE,DEF
198,Pascal,Struijk,43,Leeds,LEE,DEF
463,Héctor Junior,Firpo Adames,47,Leeds,LEE,DEF
562,Cody,Drameh,39,Leeds,LEE,DEF
563,Charlie,Cresswell,40,Leeds,LEE,DEF
608,Leo Fuhr,Hjelde,40,Leeds,LEE,DEF
657,Kris,Moore,40,Leeds,LEE,DEF
5,Cédric,Soares,42,Arsenal,ARS,DEF
8,Pablo,Marí,42,Arsenal,ARS,DEF
9,Héctor,Bellerín,48,Arsenal,ARS,DEF
11,Sead,Kolasinac,42,Arsenal,ARS,DEF
14,Rob,Holding,41,Arsenal,ARS,DEF
16,Kieran,Tierney,51,Arsenal,ARS,DEF
23,Gabriel,Magalhães,53,Arsenal,ARS,DEF
24,Konstantinos,Mavropanos,45,Arsenal,ARS,DEF
27,William,Saliba,45,Arsenal,ARS,DEF
67,Ben,White,45,Arsenal,ARS,DEF
466,Nuno,Varela Tavares,43,Arsenal,ARS,DEF
590,Takehiro,Tomiyasu,46,Arsenal,ARS,DEF
695,Ryan,Alebiosu,40,Arsenal,ARS,DEF
705,Zach,Awe,40,Arsenal,ARS,DEF
711,Zak,Swanson,40,Arsenal,ARS,DEF
39,Matt,Targett,47,Newcastle,NEW,DEF
58,Dan,Burn,44,Newcastle,NEW,DEF
292,Matt,Ritchie,49,Newcastle,NEW,DEF
293,Ciaran,Clark,44,Newcastle,NEW,DEF
299,Jamaal,Lascelles,44,Newcastle,NEW,DEF
301,Paul,Dummett,45,Newcastle,NEW,DEF
302,Javier,Manquillo,39,Newcastle,NEW,DEF
303,Emil,Krafth,43,Newcastle,NEW,DEF
305,Fabian,Schär,43,Newcastle,NEW,DEF
311,Jamal,Lewis,42,Newcastle,NEW,DEF
465,Federico,Fernández,43,Newcastle,NEW,DEF
678,Kieran,Trippier,50,Newcastle,NEW,DEF
355,Toby,Alderweireld,50,Spurs,TOT,DEF
358,Serge,Aurier,49,Spurs,TOT,DEF
360,Matt,Doherty,47,Spurs,TOT,DEF
361,Eric,Dier,46,Spurs,TOT,DEF
364,Ben,Davies,44,Spurs,TOT,DEF
367,Davinson,Sánchez,45,Spurs,TOT,DEF
368,Ryan,Sessegnon,43,Spurs,TOT,DEF
370,Sergio,Reguilón,52,Spurs,TOT,DEF
371,Japhet,Tanganga,42,Spurs,TOT,DEF
374,Joe,Rodon,42,Spurs,TOT,DEF
494,Cristian,Romero,48,Spurs,TOT,DEF
588,Emerson Aparecido,Leite de Souza Junior,47,Spurs,TOT,DEF
598,Tobi,Omole,39,Spurs,TOT,DEF
10,Calum,Chambers,42,Aston Villa,AVL,DEF
31,Björn,Engels,45,Aston Villa,AVL,DEF
36,Kortney,Hause,44,Aston Villa,AVL,DEF
38,Tyrone,Mings,50,Aston Villa,AVL,DEF
44,Matthew,Cash,51,Aston Villa,AVL,DEF
45,Ezri,Konsa Ngoyo,49,Aston Villa,AVL,DEF
46,Frédéric,Guilbert,45,Aston Villa,AVL,DEF
52,Ashley,Young,47,Aston Villa,AVL,DEF
168,Lucas,Digne,51,Aston Villa,AVL,DEF
610,Lamare,Bogarde,40,Aston Villa,AVL,DEF
670,Josh,Feeney,40,Aston Villa,AVL,DEF
684,Kaine,Hayden,40,Aston Villa,AVL,DEF
119,César,Azpilicueta,56,Chelsea,CHE,DEF
121,Thiago,Emiliano da Silva,56,Chelsea,CHE,DEF
122,Marcos,Alonso,56,Chelsea,CHE,DEF
127,Antonio,Rüdiger,61,Chelsea,CHE,DEF
133,Andreas,Christensen,46,Chelsea,CHE,DEF
135,Benjamin,Chilwell,56,Chelsea,CHE,DEF
139,Ethan,Ampadu,45,Chelsea,CHE,DEF
142,Reece,James,62,Chelsea,CHE,DEF
501,Malang,Sarr,49,Chelsea,CHE,DEF
527,Trevoh,Chalobah,47,Chelsea,CHE,DEF
539,Emerson,Palmieri dos Santos,45,Chelsea,CHE,DEF
690,Robert Kenedy,Nunes do Nascimento,45,Chelsea,CHE,DEF
165,Seamus,Coleman,49,Everton,EVE,DEF
169,Michael,Keane,47,Everton,EVE,DEF
175,Yerry,Mina,49,Everton,EVE,DEF
178,Mason,Holgate,42,Everton,EVE,DEF
179,Ben,Godfrey,47,Everton,EVE,DEF
502,Jonjoe,Kenny,44,Everton,EVE,DEF
544,Jarrad,Branthwaite,40,Everton,EVE,DEF
570,Niels,Nkounkou,40,Everton,EVE,DEF
623,Reece,Welch,40,Everton,EVE,DEF
674,Nathan,Patterson,42,Everton,EVE,DEF
675,Vitalii,Mykolenko,49,Everton,EVE,DEF
201,Jonny,Evans,54,Leicester,LEI,DEF
207,Ricardo Domingos,Barbosa Pereira,52,Leicester,LEI,DEF
208,Daniel,Amartey,38,Leicester,LEI,DEF
209,Timothy,Castagne,53,Leicester,LEI,DEF
217,Çaglar,Söyüncü,49,Leicester,LEI,DEF
218,James,Justin,49,Leicester,LEI,DEF
219,Luke,Thomas,43,Leicester,LEI,DEF
220,Wesley,Fofana,43,Leicester,LEI,DEF
340,Jannik,Vestergaard,47,Leicester,LEI,DEF
473,Ryan,Bertrand,46,Leicester,LEI,DEF
639,Vontae,Daley-Campbell,40,Leicester,LEI,DEF
645,Ben,Nelson,40,Leicester,LEI,DEF
224,Joel,Matip,49,Liverpool,LIV,DEF
229,Virgil,van Dijk,67,Liverpool,LIV,DEF
234,Andrew,Robertson,72,Liverpool,LIV,DEF
237,Trent,Alexander-Arnold,85,Liverpool,LIV,DEF
238,Joseph,Gomez,47,Liverpool,LIV,DEF
241,Nathaniel,Phillips,42,Liverpool,LIV,DEF
243,Ibrahima,Konaté,51,Liverpool,LIV,DEF
245,Konstantinos,Tsimikas,37,Liverpool,LIV,DEF
246,Neco,Williams,38,Liverpool,LIV,DEF
247,Rhys,Williams,44,Liverpool,LIV,DEF
248,Ben,Davies,40,Liverpool,LIV,DEF
626,Conor,Bradley,40,Liverpool,LIV,DEF
627,Owen,Beck,40,Liverpool,LIV,DEF
660,Jarell,Quansah,40,Liverpool,LIV,DEF
338,Jack,Stephens,44,Southampton,SOU,DEF
342,Kyle,Walker-Peters,48,Southampton,SOU,DEF
343,Jan,Bednarek,44,Southampton,SOU,DEF
351,Mohammed,Salisu,45,Southampton,SOU,DEF
460,Romain,Perraud,48,Southampton,SOU,DEF
491,Tino,Livramento,44,Southampton,SOU,DEF
546,Yan,Valery,39,Southampton,SOU,DEF
567,Lyanco Evangelista,Silveira Neves Vojnovic,44,Southampton,SOU,DEF
665,Dynel,Simeu,40,Southampton,SOU,DEF
667,Thierry,Small,40,Southampton,SOU,DEF
128,Kurt,Zouma,54,West Ham,WHU,DEF
